"DATA_CENTER_URL"	"SHORT_DCNAME"	"LONG_DCNAME"
"http://www.sysselmannen.svalbard.no"	"SMS"	"Governor of Svalbard (Sysselmannen på Svalbard)"
"http://www.tau.ac.il/"	"TAU"	"Tel-Aviv University"
"http://www.uni-stuttgart.de"	"US"	"University of Stuttgart (Universität Stuttgart)"
"http://www.u-tokyo.ac.jp"	"UTOKYO"	"University of Tokyo"
"http://www.u-tokyo.ac.jp/index/departments/c01_05_e.html"	"UTOKYO"	"University of Tokyo, Department of Earth and Planetary Sciences"
"http://www.crl.edu/content.asp?l1=5&l2=22&l3=39&top=24"		"Center for Research Libraries, Tokyo"
"http://www.unh.edu/"	"UNH"	"University of New Hampshire"
"http://www.nebraska.edu"	"NU"	"University of Nebraska"
"http://www.cnr.it"	"CNR"	"National Research Council of Italy"
"http://www.leeds.ac.uk/"	"Leeds"	"University of Leeds"
"http://www.geog.leeds.ac.uk/"	"Leeds"	"University of Leeds, School of Geography"
"http://www.imr.no/"	"IMR"	"Institute of Marine Research, Bergen"
"http://www.uni-bremen.de"	"Uni Bremen"	"University of Bremen"
"http://www.sjokart.no"	"STATKART"	"Norwegian Mapping Authority (Statens Kartverk), Norwegian Hydrographic Service (Sjøkartverket)"
"http://www.casp.cam.ac.uk/"	"CASP"	"Cambridge Arctic Shelf Programme, United Kingdom"
"http://www.iup.uni-heidelberg.de"	"Uni Heidelberg"	"University of Heidelberg, Institute for Environmental Physics (Institut für Umweltphysik)"
"http://www.statkart.no/"	"STATKART"	"Norwegian Mapping Authority (Statens Kartverk)"
"http://www.wmin.ac.uk/"	"WMIN"	"University of Westminster"
"http://www.uwindsor.ca/"	"UWINDSOR"	"University of Windsor"
"http://www.uni-wuppertal.de/"	"BGU"	"University of Wuppertal (Bergische Universität Wuppertal)"
"http://www.uni-wuerzburg.de/"	"Uni Wuerzburg"	"University of Würzburg"
"http://www.unizh.ch/"	"UZ"	"University of Zürich"
"http://www.uwyo.edu/"	"UWyo"	"University of Wyoming"
"http://www.uni-kiel.de/index-e.shtml"	"UNI-KIEL"	"University of Kiel (Christian-Albrechts-Universität zu Kiel)"
